NU_ANO_CENSO,QT_MAT,QT_ING,QT_CONC,EVASAO_PUBLICA,RETENCAO_PUBLICA,SUCESSO_PUBLICA,EVASAO_PRIVADA,RETENCAO_PRIVADA,SUCESSO_PRIVADA,EVASAO_NAO INFORMADA,RETENCAO_NAO INFORMADA,SUCESSO_NAO INFORMADA,CENTRO,EVASAO_ETNICO,RETENCAO_ETNICO,SUCESSO_ETNICO,EVASAO_REDE PUBLICA,RETENCAO_REDE PUBLICA,SUCESSO_REDE PUBLICA,EVASAO_SOCIAL,RETENCAO_SOCIAL,SUCESSO_SOCIAL,EVASAO_BRANCA,RETENCAO_BRANCA,SUCESSO_BRANCA,EVASAO_PRETA,RETENCAO_PRETA,SUCESSO_PRETA,EVASAO_PARDA,RETENCAO_PARDA,SUCESSO_PARDA,EVASAO_MASCULINO,RETENCAO_MASCULINO,SUCESSO_MASCULINO,EVASAO_FEMININO,RETENCAO_FEMININO,SUCESSO_FEMININO,EVASAO,RETENCAO,SUCESSO
2011,3113.0,852.0,476.0,88.98168968840346,,,,,,15.634363374401882,,,CFCH,,,,88.98168968840346,,,88.98168968840346,,,11.971618888206498,,,9.248879144059243,,,10.161710125273181,,,19.501163959884213,,,15.25982785640875,,,16.435023003246645,,
2012,3043.0,814.0,408.0,75.72205791068755,,,,,,12.961387255563665,,,CFCH,,,,46.65566575195231,,,91.4886625041078,,,9.768767114091895,,,11.895701071889972,,,11.35145761706095,,,22.172758417571114,,,14.70276128674428,,,16.283852474286597,,
2013,3742.0,954.0,521.0,48.05621707347926,,,,,,0.14965259219668625,,,CFCH,97.43452699091395,,,20.347759522203805,,,97.43452699091395,,,2.4140325217153915,1.1524585783003742,37.841334240318744,5.220274558863549,0.5611972207375735,34.79422768572956,5.636381295572825,8.188898220966633,30.26647323814614,9.01781676394769,8.465305695628935,29.496801392924887,6.160699250088711,4.544695350080171,32.53681928855633,6.775083147045967,6.9645568589670175,30.578460544888927
2014,3717.0,937.0,682.0,21.299266943786783,,,3.229021449360432,,,22.051394685368408,16.092918664338637,37.17618148504239,CFCH,43.514269486828006,,,24.408256209831492,,,36.823959061146304,,,11.323511780979558,5.898542896655527,84.31366416117861,3.5841760950769634,7.550892296655008,84.69264570959487,8.728700981731162,9.598561747162952,85.17388180826437,15.506365814024948,8.654339300325868,67.84755450643765,12.891771855719199,8.866382395610081,76.31288879124789,13.52083543933545,7.682845192663302,76.34845303593445
2015,3428.0,821.0,641.0,19.817723458024876,13.717482325485621,16.33570501500696,18.429726873201083,,,6.726063819327948,36.70502780105819,59.10002008612811,CFCH,27.385119085711455,,,20.431420886775538,28.231935157642138,12.212808641012362,29.658136721280773,,,4.240394086060011,11.136401174705652,85.10749832949365,5.435636658498695,21.78532280632631,77.25732066455521,6.434648253329004,15.376596962993077,81.66954950008008,16.47795315935498,20.79473723896934,74.49462485298159,13.562963120154288,17.38198786679056,78.88118778623739,13.677504978866603,18.176681624048257,78.2351004207772
2016,3385.0,953.0,581.0,17.942751363926494,34.360748149489964,30.82537898772503,24.031321396641488,,,5.693654645740677,21.846021311958136,73.22796720854762,CFCH,19.285895388510795,,,19.59629058250504,40.06928545255091,37.09365681810036,22.5243202648697,,1.3310356146397506,10.297934010041029,12.744784135642568,85.72907955319741,11.001151414626927,20.651056566055992,72.38657944714075,12.04758082684869,12.969690729711381,83.2290467651074,21.26034855016727,29.22644765793901,61.0051005894384,15.015658080782307,22.99657810619438,71.302298950036,14.865531753687765,22.714150557383743,70.59983870281198
2017,3716.0,714.0,504.0,5.70934191874023,50.17525396566252,35.69769084445186,7.707035751114232,30.49615455666229,29.557350160617514,7.025322986508321,,39.69321851453176,CFCH,7.479158907658149,22.96436816610957,20.200932902762826,6.52516778537252,41.07704521830289,44.321188198270235,5.622315194342958,24.650860442033746,18.205699933364087,2.7833692665336502,15.054042294659519,82.41338815379619,0.510774815846683,8.041111203113356,90.20371597066969,5.5051630199494905,14.740235913468092,82.67296470454932,6.39529067642891,33.97029320141068,59.57602845999266,5.687436887728952,24.475379985291983,71.62389660377741,5.425040598406566,26.785649493291135,68.01605736929739
2018,3648.0,750.0,493.0,10.173540635717442,44.76288592233372,42.74847017903242,12.403412151713814,47.18764847342494,45.675483140229666,11.845281419244952,0.7037451678587671,47.64182248384118,CFCH,9.78001078409955,54.848934245809,27.4348273051055,9.374219485941245,42.42526101705474,44.13483480707538,8.86905101315147,49.971276240660885,29.861485652368764,7.395146943284375,18.479600677954192,75.93420738023707,4.752702160429697,38.876463050509024,55.288197958839405,10.240082395298307,32.57802105810649,61.93971591456435,14.257858474867287,47.82712270425536,44.989781551896016,10.37044282454411,38.19041002617964,53.97731767770323,10.855972532220958,40.68322914678032,51.55191742606257
2019,3853.0,736.0,500.0,9.766677955213332,34.09894449881216,54.316395535168006,9.836904646581608,37.4830830811202,49.04406002136581,4.2560967370783125,,22.813392161951725,CFCH,9.784788254044544,42.89929386799449,24.99563059366505,9.980975044552032,38.55154052649062,50.25504273837413,9.627060964894842,38.59510149150134,27.79064306263088,6.052239984525657,20.685892158584863,78.34936632472794,7.4949433089586925,19.275520959868178,77.21924929765369,7.530967149671764,27.91794718023898,68.91342190296568,12.290986389514405,44.82582047396479,50.715598126661604,8.802903227233719,32.41391276070182,64.24266097920827,8.735235277694546,34.528104706558736,61.73592716487308
2020,3952.0,993.0,493.0,16.62461737231279,43.47492464685,40.92610824915703,16.506795940308503,40.578373530119514,49.49700884078566,18.64974595863686,22.69736842105263,1.6953441295546559,CFCH,16.91562112313695,37.49850953835711,46.611015610283424,17.10814495556526,43.82721573484825,40.853761241283905,16.182490601348544,46.429386829994115,38.00109865393266,9.096499288970016,24.36862229638788,68.10808229068871,8.307866580336588,28.642488260244956,58.136221615912696,18.832964284866463,30.49929287097904,60.583990277625105,24.488956765497786,45.40533608221908,45.40861250033076,15.11896695761769,37.924524145745686,53.33110557221649,16.30637889888128,39.30654421960672,51.9585574663763
2021,3983.0,850.0,381.0,11.33542686917199,41.86739224102033,27.524065206990112,8.973881118031086,37.29266313123085,58.88390336323177,8.133137261934651,,,CFCH,12.08249806043776,44.52663963000832,24.4315563613291,11.781255154675993,43.72622586405215,25.388246949517345,13.642109513558363,46.600609615627654,22.222268203573528,6.7323218311876225,31.492811658345392,58.71806454192136,8.527070910425143,48.13981134950518,46.85117306151438,11.091359453497443,33.56058319152785,49.67467653478946,11.512205759958963,55.113350798648604,41.70537344348074,9.788046483157116,36.45566746465568,50.77723477779452,10.090978741200965,38.48581641277634,58.09931093056554
2022,4092.0,866.0,476.0,10.98008728757271,34.088504458174114,56.12046476126304,12.230522802214715,30.843409646472217,60.82717464227057,5.319322254806126,,,CFCH,10.285210607947494,38.20757682116088,31.621773706494242,10.22516759417809,36.128305066516106,41.99833831134073,8.937089299118917,34.65405371090893,45.04201791056539,9.18738273396625,16.38146953781819,76.35137586347865,5.771432947970419,26.82847397405274,57.801778048973006,13.099007126268965,43.830671394361815,48.895846168302796,12.439316402789187,29.378289552321345,61.25354153744064,11.349576135122946,31.984907831777754,61.026435669960534,11.169217631083692,31.672158421555658,61.25021978649417
2009,6092.0,1498.0,940.0,,,,,,,,,,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,6695.0,1671.0,941.0,,,,,,,,,,CCS,,,,,,,,,,3.5928310080007364,,,3.8414505437744904,,,5.630120367691651,,,8.235751073844103,,,6.599371686416599,,,7.5322170193829425,,
