NU_ANO_CENSO,QT_MAT,QT_ING,QT_CONC,EVASAO_PUBLICA,RETENCAO_PUBLICA,SUCESSO_PUBLICA,EVASAO_PRIVADA,RETENCAO_PRIVADA,SUCESSO_PRIVADA,EVASAO_NAO INFORMADA,RETENCAO_NAO INFORMADA,SUCESSO_NAO INFORMADA,CENTRO,EVASAO_ETNICO,RETENCAO_ETNICO,SUCESSO_ETNICO,EVASAO_REDE PUBLICA,RETENCAO_REDE PUBLICA,SUCESSO_REDE PUBLICA,EVASAO_SOCIAL,RETENCAO_SOCIAL,SUCESSO_SOCIAL,EVASAO_AMPLA,RETENCAO_AMPLA,SUCESSO_AMPLA,EVASAO_BRANCA,RETENCAO_BRANCA,SUCESSO_BRANCA,EVASAO_PRETA,RETENCAO_PRETA,SUCESSO_PRETA,EVASAO_PARDA,RETENCAO_PARDA,SUCESSO_PARDA,EVASAO_MASCULINO,RETENCAO_MASCULINO,SUCESSO_MASCULINO,EVASAO_FEMININO,RETENCAO_FEMININO,SUCESSO_FEMININO,EVASAO,RETENCAO,SUCESSO
2014,6154.0,1471.0,763.0,22.02265237614673,,,3.0086066368698283,,,19.684045243059185,17.4978470310525,18.14167477988929,CLA,30.816945181930855,,,23.333452720637634,,,33.342476953949166,,,13.86269178777176,16.328073736873215,19.07409854174186,9.789816028012389,11.705612324983663,24.602090620232573,13.581225972708264,11.281452812164545,15.840645650525403,11.327305942858425,13.077375667282958,17.748362211997332,17.95842520277486,15.412996199059965,19.79502354228584,14.443743836430366,16.517612680182552,18.523744264149677,15.246551796512804,16.19073671258421,19.13544075818645
2015,6028.0,1428.0,685.0,17.915077408413453,15.293441213729865,6.535335102853351,22.13062945782319,,,7.124808345673808,26.743113425918832,31.90837732562225,CLA,23.307511850011387,,,19.531471799238897,22.191367027133452,5.754810882548109,24.350706212356634,,,13.109374414720088,25.039579063695943,32.95185810298977,7.488034096388195,11.960123502374696,47.497143277449226,5.4687605185463,28.387893533878934,26.42252820172528,8.042001191279152,11.758990152736004,48.56641229816412,16.13588736370847,28.861233570076767,28.80178729757702,13.729640697478231,27.25301480722605,29.689722346358682,14.532098443648751,27.180505493204894,30.913377792648788
2016,5839.0,1393.0,688.0,20.047589968343313,51.74037976179103,5.939575416502512,19.103539344863382,,,9.987967025468011,5.3775811477589395,53.999153068459364,CLA,23.252759605814774,,,22.48942988878598,44.76040417879774,9.595235765140103,24.646624742646488,,,14.546225738777453,14.533958087641187,44.61399520843664,9.36493797068062,11.641496455021477,50.13160684722596,8.897299818309039,19.255651652680253,37.65998744077182,11.255301691096113,16.339508596102192,43.8001822348457,20.776574531988206,22.911312883889142,36.66012200393087,15.76222836920057,19.998825696414446,38.10955943782212,16.707160628527724,21.587390865013536,37.95051988027387
2017,6552.0,1415.0,701.0,2.671589459735957,44.08948926025847,12.49141024132553,5.9983330343100105,30.646825681319307,6.155322760775506,1.2074514991181657,0.38156288156288154,26.73992673992674,CLA,5.493179450689549,31.640556863771153,2.269027269027269,3.2616862970992297,40.77244316158023,15.967425431711145,2.9252306335639666,32.60582010582011,2.284289784289784,3.2568002636246,18.056435109470353,40.27887454977533,0.6875987574516986,12.372512215737983,46.36579114143217,2.716291644863073,24.39815932947801,27.914268271411128,1.992739376419526,29.32911464390492,27.045428625098957,2.5318229442222018,27.95513642253125,30.278433919875503,2.6314186153007495,16.904547024775702,38.80345631118018,2.4059327724297392,22.28867057059791,35.51057217724108
2018,6358.0,1513.0,692.0,15.630580595200964,32.96088605613683,26.19982707905397,19.873398873534335,29.113882449163302,29.6463065485419,12.300617454065867,,8.100031456432841,CLA,16.38775887383129,44.7436503073334,11.945435351450005,16.175350412115332,31.741222760442724,25.732243352436832,17.10667395700578,44.789607625931815,11.623504811221075,17.240802354236216,15.30941941216443,43.420163402161776,12.976593466228444,9.080943642392489,51.47235734081054,11.934429557966666,33.91321375158564,23.510013631120895,16.07038144568506,21.7454803097294,38.19189393278545,17.880892498556936,23.30143839625167,35.272624290357854,15.88000102134442,18.022790211212424,40.147622299282865,16.627067220219274,19.96027518933555,39.46256267638966
2019,6451.0,1696.0,670.0,15.545650957364595,25.353112048209393,30.260355870484855,17.96340904155185,30.424333796233814,26.46428706776468,10.400207457868376,,22.30661912881724,CLA,15.628723176529176,36.325972025082386,17.68159583638773,14.844183877194927,30.186418755706207,25.431084392519423,15.026380547714224,38.11974919629187,14.932184971713726,16.69473302405992,16.624511779250902,40.6823860644524,10.202700310064245,13.128665254712804,46.61956074993221,10.748129635754998,14.394063539932398,40.07905751046349,16.607303999817123,24.36353704905447,33.59750767640105,17.846506416548397,21.449213306268444,35.66028140113651,15.212224303077267,24.06366387344399,31.684916886353143,15.957503396166762,23.17203346794715,33.903587674729785
2020,6280.0,1478.0,725.0,17.84692311568741,21.91372851740526,38.370524633084266,15.257764916809533,22.46298906877047,36.32189419314014,14.195563257149994,0.7802547770700637,23.55095541401274,CLA,22.131056547435392,28.690684875158826,29.783094178247445,19.027703603717367,24.689626691505822,35.52092450534581,19.86568837628926,27.189139012220046,31.55408950880101,14.92383853895011,15.39967984330138,45.401085431340206,6.451078659902808,11.090246165723872,51.376845129392905,9.729731281622314,9.757257565967064,51.047947629157825,20.950316035401165,20.157532143030217,41.73208122831228,23.410828031469634,24.187559460794933,36.556660974295276,13.330233473177353,17.374015997120267,42.36039986162344,16.580164081797033,19.62277166503681,41.26530976397805
2021,6366.0,1410.0,480.0,11.997779014119184,35.97548509948254,24.508656625454623,10.399790224778119,33.12957569632271,25.410662434712485,14.479812260208114,0.12566760917373546,28.746465598491987,CLA,12.175339972821394,41.07338071436704,17.23893239838414,11.741419038669745,37.746201486649404,21.417011125990978,12.419464892748218,39.85773894229377,18.480811375920258,10.645731648164885,28.812044979125453,30.52665659176825,7.46272946746624,16.700969682984734,43.695360803411845,9.587080461870341,36.2996604963644,23.2208639032113,11.367412489263414,37.50347274555135,21.67844993841556,11.826721933125148,35.07846353645166,24.661053190447632,11.271921971661953,32.10438008434623,27.175027719050494,11.155533981623602,33.45564583637862,26.732641171777168
2022,6441.0,1428.0,582.0,14.792607186777403,33.210800157836914,27.2839469220478,14.773622504143779,29.819721429302504,28.989628438060514,3.7520053821870305,,,CLA,14.069112353784886,38.930763815609836,20.740074605579558,14.629665630307171,32.73327808425516,26.65755169498952,15.232560349065622,36.67488697583754,22.609803802338277,14.601775628537032,29.010212966286986,30.438827258385235,12.403079090044024,24.498804579932084,36.9354506091814,9.775302151559421,30.848547036114006,30.269195604547257,14.765405827478322,33.93340495020907,24.655254347241,13.768893444985018,30.21063124472452,30.161117734486577,14.74965535347577,30.443741934281814,27.735513723879443,14.4268039197841,31.097096416214484,29.07055363373272
2010,622.0,314.0,21.0,,,,,,,,,,MACAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
