,CO_CURSO,NO_CURSO,ANO_INGRESSO,ANO_REFERENCIA,QT_INGRESSANTES,QT_PERMANENCIA,QT_CONCLUINTES,QT_DESISTENTES,TAP,TCA,TDA,TCAN,TADA,DURACAO,ANO_INTEGRALIZACAO
31,14348,CIÊNCIAS SOCIAIS 2010 2013,2013,2014,216,156,4,33,71.946022725,3.409090909,24.644886364999998,2.2727272725,14.84375,5,2017
32,14348,CIÊNCIAS SOCIAIS 2010 2013,2013,2015,216,140,2,13,64.71456692999999,4.370973515,30.914459559999997,0.9618826055,6.164996421,5,2017
33,14348,CIÊNCIAS SOCIAIS 2010 2013,2013,2016,216,104,21,15,48.273085185,13.860057265,37.86685755,9.489083752500001,6.9523979955,5,2017
34,14348,CIÊNCIAS SOCIAIS 2010 2013,2013,2017,216,58,32,14,27.37115247,28.726735859999998,43.902111665,14.866678595,6.035254116,5,2017
35,14348,CIÊNCIAS SOCIAIS 2010 2013,2013,2018,216,38,16,4,18.101288475,36.072834645,45.82587688,7.346098783,1.9237652115000001,5,2017
36,14348,CIÊNCIAS SOCIAIS 2010 2013,2013,2019,216,18,11,9,9.005905512,40.926986400000004,50.06710809,4.8541517535,4.2412312095,5,2017
37,14348,CIÊNCIAS SOCIAIS 2010 2013,2013,2020,216,11,7,0,5.552075877,44.38081603,50.06710809,3.4538296345,0.0,5,2017
38,14348,CIÊNCIAS SOCIAIS 2010 2013,2013,2021,216,10,1,0,5.1583750895,44.77451682,50.06710809,0.3937007875,0.0,5,2017
39,14348,CIÊNCIAS SOCIAIS 2010 2013,2014,2014,213,186,0,27,87.444098775,0.0,12.555901225,0.0,12.555901225,5,2018
40,14348,CIÊNCIAS SOCIAIS 2010 2013,2014,2015,213,152,2,32,69.84250437,1.0353879055,29.122107715,1.0353879055,16.566206495,5,2018
41,14348,CIÊNCIAS SOCIAIS 2010 2013,2014,2016,213,125,2,25,56.970639704999996,1.754812366,41.27454793,0.7194244605,12.15244021,5,2018
42,14348,CIÊNCIAS SOCIAIS 2010 2013,2014,2017,213,88,18,19,40.501652735,9.809449739,49.68889753,8.0546373715,8.4143496035,5,2018
43,14348,CIÊNCIAS SOCIAIS 2010 2013,2014,2018,213,48,16,24,23.269492515000003,16.512735755,60.217771725000006,6.70328602,10.528874199,5,2018
44,14348,CIÊNCIAS SOCIAIS 2010 2013,2014,2019,213,26,13,9,12.196188995,22.76881198,65.03499903,6.25607622,4.8172272995,5,2018
45,14348,CIÊNCIAS SOCIAIS 2010 2013,2014,2020,213,17,9,0,8.642815477,26.322185495,65.03499903,3.553373517,0.0,5,2018
46,14348,CIÊNCIAS SOCIAIS 2010 2013,2014,2021,213,11,2,4,5.53665176,27.673536845,66.789811395,1.3513513515,1.754812366,5,2018
47,14348,CIÊNCIAS SOCIAIS 2010 2013,2015,2015,192,166,0,26,86.00847971,0.0,13.99152029,0.0,13.99152029,5,2019
48,14348,CIÊNCIAS SOCIAIS 2010 2013,2015,2016,192,150,0,16,78.95820714999999,0.0,21.04179285,0.0,7.0502725635,5,2019
49,14348,CIÊNCIAS SOCIAIS 2010 2013,2015,2017,192,120,4,26,61.889763779999996,3.076923077,35.033313145,3.076923077,13.99152029,5,2019
50,14348,CIÊNCIAS SOCIAIS 2010 2013,2015,2018,192,84,18,18,44.336765595,10.539067231,45.12416717,7.462144154,10.090854028999999,5,2019
51,14348,CIÊNCIAS SOCIAIS 2010 2013,2015,2019,192,53,26,5,31.00545124,21.52634767,47.46820109,10.9872804385,2.3440339185,5,2019
52,14348,CIÊNCIAS SOCIAIS 2010 2013,2015,2020,192,34,18,1,19.394306485,32.74379164,47.861901875,11.217443972,0.3937007875,5,2019
53,14348,CIÊNCIAS SOCIAIS 2010 2013,2015,2021,192,29,3,2,16.67474258,34.300423984999995,49.024833435000005,1.556632344,1.1629315565,5,2019
54,14348,CIÊNCIAS SOCIAIS 2010 2013,2016,2016,206,186,1,19,89.87394957999999,0.7142857145,9.411764706,0.7142857145,9.411764706,5,2020
55,14348,CIÊNCIAS SOCIAIS 2010 2013,2016,2017,206,165,1,20,79.033613445,1.0819327735,19.884453784999998,0.367647059,10.472689077,5,2020
56,14348,CIÊNCIAS SOCIAIS 2010 2013,2016,2018,206,137,4,24,62.84663865499999,3.2457983195,33.907563025,2.163865546,14.0231092445,5,2020
57,14348,CIÊNCIAS SOCIAIS 2010 2013,2016,2019,206,93,20,24,42.16386555,13.025210085,44.81092437,9.7794117645,10.9033613455,5,2020
58,14348,CIÊNCIAS SOCIAIS 2010 2013,2016,2020,206,64,29,0,29.76890756,25.420168070000003,44.81092437,12.394957981500001,0.0,5,2020
59,14348,CIÊNCIAS SOCIAIS 2010 2013,2016,2021,206,48,11,5,22.5,30.850840335,46.649159665,5.430672269,1.838235294,5,2020
60,14348,CIÊNCIAS SOCIAIS 2010 2013,2017,2017,203,191,1,11,94.13533835,0.3759398495,5.4887218045,0.3759398495,5.4887218045,5,2021
61,14348,CIÊNCIAS SOCIAIS 2010 2013,2017,2018,203,155,1,35,75.86466165499999,1.090225564,23.045112785,0.7142857145,17.556390975,5,2021
62,14348,CIÊNCIAS SOCIAIS 2010 2013,2017,2019,203,122,9,24,59.39849624,5.827067669,34.774436089999995,4.736842105,11.72932331,5,2021
63,14348,CIÊNCIAS SOCIAIS 2010 2013,2017,2020,203,85,33,4,40.07518797,22.969924810000002,36.954887215,17.142857145,2.1804511275,5,2021
64,14348,CIÊNCIAS SOCIAIS 2010 2013,2017,2021,203,61,15,9,27.66917293,29.962406015,42.368421049999995,6.9924812030000005,5.4135338345,5,2021
65,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2010,2010,376,372,0,4,96.71266233766235,0.0,3.2873376623376624,0.0,3.2873376623376624,5,2014
66,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2010,2011,376,338,1,33,84.02959524632527,0.7575757575757575,15.21282899609898,0.7575757575757575,11.925491333761283,5,2014
67,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2010,2012,376,297,24,17,61.73162230671738,16.2878787878788,21.98049890540385,15.530303030303024,6.767669909304898,5,2014
68,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2010,2013,376,200,21,76,19.011406844106475,18.28407650650998,62.70451664938355,1.99619771863118,40.724017743979736,5,2014
69,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2010,2014,376,0,0,200,0.0,18.28407650650998,81.71592349349002,0.0,19.011406844106475,5,2014
70,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2010,2015,376,0,0,0,0.0,18.28407650650998,81.71592349349002,0.0,0.0,5,2014
71,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2010,2016,376,0,0,0,0.0,18.28407650650998,81.71592349349002,0.0,0.0,5,2014
72,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2010,2017,376,0,0,0,0.0,18.28407650650998,81.71592349349002,0.0,0.0,5,2014
73,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2010,2018,376,0,0,0,0.0,18.28407650650998,81.71592349349002,0.0,0.0,5,2014
74,14357,COMUNICAÇÃO SOCIAL (EXCETO JORNALISMO) 2010 2021,2010,2019,376,0,0,0,0.0,18.28407650650998,81.71592349349002,0.0,0.0,5,2014
