;CO_ANO;CO_CURSO;NO_CURSO;MATT;CONCLT;INGR;MPROCEDUCPUBLICA;IPROCEDUCPUBLICA;CPROCEDUCPUBLICA;MPROCEDUCPRIVADA;IPROCEDUCPRIVADA;CPROCEDUCPRIVADA;MPROCNAOINFORMADA;IPROCNAOINFORMADA;CPROCNAOINFORMADA;DURACAO;CENTRO;Evasao;Retencao;Sucesso
51;2010;29307;FÍSICA - FÍSICA MÉDICA;32;4;4;0;0;0;0;0;0;0;0;0;4.0;CCMN;;;
52;2010;30273;EDUCAÇÃO ARTÍSTICA - ARTES PLÁSTICAS;278;45;74;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
53;2010;30279;FARMÁCIA - ANÁLISES CLÍNICAS;82;23;36;0;0;0;0;0;0;0;0;0;;;;;
54;2010;31956;COMUNICAÇÃO SOCIAL - PRODUÇÃO EDITORIAL;90;22;36;0;0;0;0;0;0;0;0;0;;;;;
55;2010;31957;CIÊNCIAS BIOLÓGICAS - ECOLOGIA - ECOLOGIA;70;34;30;0;0;0;0;0;0;0;0;0;;;;;
56;2010;31958;CIÊNCIAS BIOLÓGICAS - ZOOLOGIA - ZOOLOGIA;54;17;28;0;0;0;0;0;0;0;0;0;;;;;
57;2010;31959;CIÊNCIAS BIOLÓGICAS - GENÉTICA - GENÉTICA;52;14;23;0;0;0;0;0;0;0;0;0;;;;;
58;2010;31960;COMUNICAÇÃO SOCIAL - RADIALISMO;174;29;50;0;0;0;0;0;0;0;0;0;;;;;
59;2010;33018;ENGENHARIA ELÉTRICA - ELETRÔNICA;5;2;1;0;0;0;0;0;0;0;0;0;;;;;
60;2010;33821;MÚSICA - COMPOSIÇÃO;52;3;9;0;0;0;0;0;0;0;0;0;5.0;CLA;;;
61;2010;33823;EDUCAÇÃO ARTÍSTICA - MÚSICA;2;0;0;0;0;0;0;0;0;0;0;0;;;;;
62;2010;33825;DESENHO INDUSTRIAL - PROJETO DE PRODUTO;258;25;49;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
63;2010;35556;DESENHO INDUSTRIAL - PROGRAMAÇÃO VISUAL;73;29;3;0;0;0;0;0;0;0;0;0;;;;;
64;2010;35557;ARTES CÊNICAS - INDUMENTÁRIA;142;15;41;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
65;2010;35558;MÚSICA - CANTO;49;8;10;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
66;2010;35560;FARMÁCIA - FARMÁCIA INDUSTRIAL;171;41;83;0;0;0;0;0;0;0;0;0;;;;;
67;2010;35563;FARMÁCIA - ANÁLISES DE ALIMENTOS;11;3;6;0;0;0;0;0;0;0;0;0;;;;;
68;2010;44363;FÍSICA;340;19;80;0;0;0;0;0;0;0;0;0;5.0;CCMN;;;
69;2010;44417;MATEMÁTICA;200;18;62;0;0;0;0;0;0;0;0;0;;;;;
70;2010;44610;ADMINISTRAÇÃO - LOGÍSTICA;2;2;0;0;0;0;0;0;0;0;0;0;;;;;
71;2010;44613;ADMINISTRAÇÃO - FINANÇAS E CONTROLE;40;40;0;0;0;0;0;0;0;0;0;0;;;;;
72;2010;44614;ADMINISTRAÇÃO - MARKETING;21;21;0;0;0;0;0;0;0;0;0;0;;;;;
73;2010;44616;ADMINISTRAÇÃO - RECURSOS HUMANOS;7;7;0;0;0;0;0;0;0;0;0;0;;;;;
74;2010;44617;ADMINISTRAÇÃO - ESTRATÉGIA EMPRESARIAL;23;23;0;0;0;0;0;0;0;0;0;0;;;;;
75;2010;44892;EDUCAÇÃO FÍSICA;800;85;218;0;0;0;0;0;0;0;0;0;5.0;CCS;;;
76;2010;44893;EDUCAÇÃO FÍSICA;961;122;205;0;0;0;0;0;0;0;0;0;4.0;CCS;;;
77;2010;44900;CIÊNCIAS BIOLÓGICAS;79;26;29;0;0;0;0;0;0;0;0;0;4.0;CCS;;;
78;2010;45127;MÚSICA - TROMPETE;13;1;5;0;0;0;0;0;0;0;0;0;;;;;
79;2010;45128;MÚSICA - HARPA;1;0;0;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
80;2010;45132;MÚSICA - TROMBONE;5;0;1;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
81;2010;45133;MÚSICA - TROMPA;11;0;2;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
82;2010;45134;MÚSICA - VIOLA;3;1;0;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
83;2010;45135;MÚSICA - FAGOTE;5;1;1;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
84;2010;45136;MÚSICA - VIOLINO;17;3;5;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
85;2010;45137;MÚSICA - FLAUTA;9;0;2;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
86;2010;45138;MÚSICA - VIOLONCELO;5;1;1;0;0;0;0;0;0;0;0;0;;;;;
87;2010;45142;MÚSICA - VIOLÃO;39;1;8;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
88;2010;45145;MÚSICA - PIANO;46;4;8;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
89;2010;45148;MÚSICA - INSTRUMENTO DE PERCUSSÃO;4;1;1;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
90;2010;45149;MÚSICA - OBOÉ;9;2;0;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
91;2010;45150;MÚSICA - SAXOFONE;11;1;1;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
92;2010;45197;MÚSICA - ÓRGÃO;4;0;0;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
93;2010;45199;MÚSICA - CONTRABAIXO;5;0;3;0;0;0;0;0;0;0;0;0;;;;;
94;2010;45201;MÚSICA - TUBA;3;0;1;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
95;2010;45202;MÚSICA - CLARINETA;10;1;0;0;0;0;0;0;0;0;0;0;4.0;CLA;;;
96;2010;45204;QUÍMICA;249;38;71;0;0;0;0;0;0;0;0;0;5.0;CCMN;;;
97;2010;50066;ENFERMAGEM E OBSTETRÍCIA;82;3;42;0;0;0;0;0;0;0;0;0;;;;;
98;2010;52553;ADMINISTRAÇÃO - ADMINISTRAÇÃO INTERNACIONAL;5;5;0;0;0;0;0;0;0;0;0;0;;;;;
99;2010;63484;CIÊNCIAS BIOLÓGICAS;309;5;75;0;0;0;0;0;0;0;0;0;5.0;EAD;;;
100;2010;63484;CIÊNCIAS BIOLÓGICAS;39;4;0;0;0;0;0;0;0;0;0;0;5.0;EAD;87.17105263157895;;
101;2010;63484;CIÊNCIAS BIOLÓGICAS;192;0;77;0;0;0;0;0;0;0;0;0;5.0;EAD;0.0;;
102;2010;63484;CIÊNCIAS BIOLÓGICAS;226;0;76;0;0;0;0;0;0;0;0;0;5.0;EAD;21.875;;
103;2010;63484;CIÊNCIAS BIOLÓGICAS;247;4;63;0;0;0;0;0;0;0;0;0;5.0;EAD;18.58407079646017;;
104;2010;63484;CIÊNCIAS BIOLÓGICAS;271;6;75;0;0;0;0;0;0;0;0;0;5.0;EAD;19.34156378600823;37.64102564102563;8.0
105;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
106;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
107;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
108;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
109;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
110;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
111;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
112;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
113;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
114;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
115;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
116;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
117;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;100.0;0.0
118;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;100.0;
119;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;100.0;
120;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;100.0;
121;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
122;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
123;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
124;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;0.0
125;2010;63484;CIÊNCIAS BIOLÓGICAS;0;0;0;0;0;0;0;0;0;0;0;0;5.0;EAD;100.0;;
