;Unnamed: 0;CO_ANO;CENTRO;EVASAO;RETENCAO;SUCESSO
0;0;2010;CCMN;;;
1;1;2011;CCMN;26.88853649700075;;
2;2;2012;CCMN;24.85353653172933;;
3;3;2013;CCMN;18.78857006326819;15.04210990924897;0.09286845425020802
4;4;2014;CCMN;27.43525632212474;31.31271519042622;18.40323525166701
5;5;2015;CCMN;25.94781174430784;63.38408098029397;29.81130719495771
6;6;2016;CCMN;30.19455042754116;55.06789960665319;38.49973985967999
7;7;2017;CCMN;14.3752692823768;59.30333160018206;33.97834186008689
8;8;2018;CCMN;23.09325433462001;60.8721154547334;30.58119702335296
9;9;2019;CCMN;20.01057815006763;60.11704327174269;30.7043135644368
10;10;2020;CCMN;22.93443550316645;56.09457378777127;36.6422530441639
11;11;2021;CCMN;19.75568782831806;75.74107318982541;20.8561885285343
12;12;2022;CCMN;19.91513004515193;73.90873424396734;21.2580716327711
13;0;2010;CT;;;
14;1;2011;CT;10.28901037586231;;
15;2;2012;CT;7.73715048659321;;
16;3;2013;CT;4.191050339911038;;
17;4;2014;CT;9.697889324927349;;
18;5;2015;CT;10.02598687633984;34.72751393278569;60.6186779518316
19;6;2016;CT;12.99228374616551;30.40089417942169;66.01863914556893
20;7;2017;CT;5.279724164028433;25.65828349494682;72.13364783114
21;8;2018;CT;11.84667029617302;38.71083619029456;56.96587152851068
22;9;2019;CT;12.37209418276425;38.09354519792463;57.76016459484624
23;10;2020;CT;11.73291943589037;36.39809775964701;56.48936802016741
24;11;2021;CT;10.07768814256006;59.80237778804551;38.77728673723272
25;12;2022;CT;12.93985559676165;52.12848009322701;43.45157502660886
26;0;2010;CCJE;;;
27;1;2011;CCJE;12.08538948946143;;
28;2;2012;CCJE;10.11933902147416;;
29;3;2013;CCJE;7.863040126585607;;
30;4;2014;CCJE;9.699897596821579;22.02228779868456;12.32523497755409
31;5;2015;CCJE;10.70150391759137;27.15593952205594;63.68977126072756
32;6;2016;CCJE;12.01098670894424;28.4598853032054;65.86823317217844
33;7;2017;CCJE;3.052928676325803;30.94117743153128;63.67819088522114
34;8;2018;CCJE;9.008775796317938;29.98870981462087;62.62481236543972
35;9;2019;CCJE;8.827583750924836;36.38873134545112;57.37527715135527
36;10;2020;CCJE;10.19299260526322;35.42849148738382;59.17579416880183
37;11;2021;CCJE;7.264665187044948;39.16283098286154;58.40674202225318
38;12;2022;CCJE;8.429969320234878;31.48882210153875;62.72742200002411
39;0;2010;CFCH;;;
40;1;2011;CFCH;16.43502300324664;;
41;2;2012;CFCH;16.2838524742866;;
42;3;2013;CFCH;6.775083147045967;;
43;4;2014;CFCH;13.52083543933545;5.0114857164324;50.59275808606763
44;5;2015;CFCH;13.6775049788666;18.17668162404826;78.2351004207772
45;6;2016;CFCH;14.86553175368776;22.71415055738374;70.59983870281198
46;7;2017;CFCH;5.425040598406568;26.78564949329114;68.01605736929739
47;8;2018;CFCH;10.85597253222096;40.68322914678032;51.55191742606257
48;9;2019;CFCH;8.735235277694544;34.52810470655874;61.73592716487308
49;10;2020;CFCH;16.30637889888128;39.30654421960672;51.9585574663763
50;11;2021;CFCH;10.09097874120097;38.48581641277634;58.09931093056554
51;12;2022;CFCH;11.1692176310837;31.67215842155566;61.25021978649417
52;0;2010;CCS;;;
53;1;2011;CCS;11.03785498505915;;
54;2;2012;CCS;10.33073205035205;;
55;3;2013;CCS;8.31592187909517;;
56;4;2014;CCS;14.78347055168116;13.76969947422076;37.33452745099503
57;5;2015;CCS;12.34360513328916;27.3861662076153;51.19726870810918
58;6;2016;CCS;12.55849079304759;25.06981105972315;68.27500516847553
59;7;2017;CCS;4.232128548847707;24.26068427018847;68.12432612294334
60;8;2018;CCS;11.43399422821475;34.26167003738018;57.84319894014434
61;9;2019;CCS;10.12188475504673;29.42519822861995;63.32715245495825
62;10;2020;CCS;9.348388877570972;34.51700206020243;60.51947823799595
63;11;2021;CCS;8.197700552231206;51.55380161593586;45.32557536943867
64;12;2022;CCS;8.01508244725571;37.90152467692327;56.1859784488504
65;0;2010;CLA;;;
66;1;2011;CLA;17.78070245461354;;
67;2;2012;CLA;10.38235316835531;;
68;3;2013;CLA;6.650170901475296;;
69;4;2014;CLA;8.278175837076985;18.71077004244432;45.70686651933219
70;5;2015;CLA;9.19180383268581;42.61511581426851;51.42286752576921
71;6;2016;CLA;10.40225194583684;25.39335559256298;69.61793085227463
72;7;2017;CLA;2.733246670525541;29.49148752399537;65.43883222095559
73;8;2018;CLA;7.903230957445937;22.73655217408235;70.2927934258975
74;9;2019;CLA;10.22607485593434;24.25408528299306;65.55121875439124
75;10;2020;CLA;12.57262611438656;19.69135119842936;67.21224914412828
76;11;2021;CLA;11.23233107036944;34.18590673019453;49.02075301634195
77;12;2022;CLA;14.44916018013561;34.25597031145048;60.36757144184263
78;0;2010;MACAE;;;
79;1;2011;MACAE;25.0614531773303;;
80;2;2012;MACAE;22.40392885878996;;
81;3;2013;MACAE;14.45844950089086;;
82;4;2014;MACAE;19.70369326232489;;
83;5;2015;MACAE;20.65621142318097;28.44881407619042;41.58120127546966
84;6;2016;MACAE;14.12738934603322;32.95965892236622;51.46325282170606
85;7;2017;MACAE;10.35060201864319;49.23376014894362;42.23450860881763
86;8;2018;MACAE;11.58300444763483;43.85326691541408;46.59857767869988
87;9;2019;MACAE;10.56498751047803;28.67049063014569;61.18350314090792
88;10;2020;MACAE;8.755306508845418;47.19130600953488;48.40171191438543
89;11;2021;MACAE;9.494572373196831;46.62171929974497;47.8012547657189
90;12;2022;MACAE;10.58867810902017;41.1584448819613;52.90929453117776
91;0;2010;CAXIAS;;;
92;1;2011;CAXIAS;30.36910876022416;;
93;2;2012;CAXIAS;25.3896262783637;;
94;3;2013;CAXIAS;17.05052579678329;;
95;4;2014;CAXIAS;19.24204793100662;41.59187758264463;52.00154958677686
96;5;2015;CAXIAS;17.09717571239022;52.29112027879825;35.28696044895331
97;6;2016;CAXIAS;17.2315035210529;45.45284873263454;44.88279488279488
98;7;2017;CAXIAS;8.993239640603404;29.53777048533751;59.32092555331991
99;8;2018;CAXIAS;13.86861770439;57.531813537531;36.33883301112311
100;9;2019;CAXIAS;14.61140892073217;51.9325085084329;39.41269841269841
101;10;2020;CAXIAS;18.58990361278691;19.54060618389131;74.72299311337238
102;11;2021;CAXIAS;12.75051276832266;61.85768867702179;32.35839906625193
103;12;2022;CAXIAS;23.50050971875008;47.12841948590922;45.88468809073724
104;0;2010;UFRJ;;;
105;1;2011;UFRJ;14.9604541710793;;
106;2;2012;UFRJ;12.34125365128276;;
107;3;2013;UFRJ;8.371642117147019;1.456187334227749;0.008990352260709822
108;4;2014;UFRJ;13.14872506312929;14.35187143081199;25.49596975497759
109;5;2015;UFRJ;12.89993664818097;33.83845062063367;55.4776306344468
110;6;2016;UFRJ;14.16892554266185;29.82350729268198;64.14959631711923
111;7;2017;UFRJ;5.33813293768164;31.27528835464711;63.08491111164211
112;8;2018;UFRJ;11.56865530121872;36.21799578997243;56.62129009010978
113;9;2019;UFRJ;11.14595216364455;35.06101580821087;57.91954205435735
114;10;2020;UFRJ;12.53074580778931;35.46576192475694;57.22557381230769
115;11;2021;UFRJ;10.22915523467807;48.5134449561353;46.30745587175068
116;12;2022;UFRJ;11.66315363822227;41.33900191426862;53.05837881801592
