CO_CURSO,NU_ANO_CENSO,CENTRO,NO_CURSO,INGRESSANTES,INGRESSANTES_FEM,INGRESSANTES_MASC,INGRESSANTES_DIURNO,INGRESSANTES_NOTURNO,INGRESSANTES_VG_NOVA,INGRESSANTES_VESTIBULAR,INGRESSANTES_ENEM,INGRESSANTES_AVALIACAO_SERIADA,INGRESSANTES_SELECAO_SIMPLIFICA,INGRESSANTES_EGR,INGRESSANTES_OUTRO_TIPO_SELECAO,INGRESSANTES_PROC_SELETIVO,INGRESSANTES_VG_REMANESC,INGRESSANTES_VG_PROG_ESPECIAL,INGRESSANTES_OUTRA_FORMA,INGRESSANTES_0_17,INGRESSANTES_18_24,INGRESSANTES_25_29,INGRESSANTES_30_34,INGRESSANTES_35_39,INGRESSANTES_40_49,INGRESSANTES_50_59,INGRESSANTES_60_MAIS,INGRESSANTES_BRANCA,INGRESSANTES_PRETA,INGRESSANTES_PARDA,INGRESSANTES_AMARELA,INGRESSANTES_INDIGENA,INGRESSANTES_CORND,INGRESSANTES_NACBRAS,INGRESSANTES_NACESTRANG,INGRESSANTES_DEFICIENTE,INGRESSANTES_FINANC,INGRESSANTES_FINANC_REEMB,INGRESSANTES_FIES,INGRESSANTES_RPFIES,INGRESSANTES_FINANC_REEMB_OUTROS,INGRESSANTES_FINANC_NREEMB,INGRESSANTES_PROUNII,INGRESSANTES_PROUNIP,INGRESSANTES_NRPFIES,INGRESSANTES_FINANC_NREEMB_OUTROS,INGRESSANTES_RESERVA_VAGA,INGRESSANTES_RVREDEPUBLICA,INGRESSANTES_RVETNICO,INGRESSANTES_RVPDEF,INGRESSANTES_RVSOCIAL_RF,INGRESSANTES_RVOUTROS,INGRESSANTES_PROCESCPUBLICA,INGRESSANTES_PROCESCPRIVADA,INGRESSANTES_PROCNAOINFORMADA,INGRESSANTES_PARFOR,INGRESSANTES_APOIO_SOCIAL,INGRESSANTES_ATIV_EXTRACURRICULAR,INGRESSANTES_MOB_ACADEMICA,INGRESSANTES_AMPLA
23977,2009,CFCH,ARTES CENICAS - DIRECAO TEATRAL,15.0,6.0,9.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0
35557,2009,CLA,ARTES CENICAS - INDUMENTARIA,36.0,32.0,4.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,30.0,3.0,0.0,2.0,1.0,0.0,0.0,17.0,2.0,2.0,1.0,0.0,14.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,0.0,36.0
14324,2009,CCMN,ASTRONOMIA,18.0,6.0,12.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0
99321,2009,CCJE,BIBLIOTECONOMIA E GESTAO DE UNIDADES DE INFORMACAO,39.0,30.0,9.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3.0,1.0,1.0,1.0,1.0,0.0,13.0,4.0,5.0,0.0,0.0,17.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,4.0,0.0,39.0
85783,2009,CCMN,CIENCIA DA COMPUTACAO,102.0,17.0,85.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,97.0,1.0,1.0,1.0,0.0,0.0,0.0,40.0,1.0,15.0,0.0,0.0,46.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,2.0,0.0,102.0
14331,2009,CCMN,CIENCIAS ATUARIAIS,43.0,23.0,20.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,4.0,0.0,0.0,17.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,4.0,0.0,43.0
112584,2009,CCS,CIENCIAS BIOLOGICAS  BIOFISICA,30.0,16.0,14.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,17.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,0.0,30.0
112586,2009,CCS,CIENCIAS BIOLOGICAS  MICROBIOLOGIA E IMUNOLOGIA,41.0,24.0,17.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,5.0,0.0,0.0,18.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,13.0,0.0,41.0
112582,2009,CCS,CIENCIAS BIOLOGICAS  MODALIDADE MEDICA,89.0,65.0,24.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,86.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,3.0,9.0,0.0,0.0,44.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,4.0,0.0,89.0
44900,2009,CCS,CIENCIAS BIOLOGICAS - LICENCIATURA,133.0,79.0,54.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,113.0,9.0,5.0,1.0,4.0,0.0,0.0,57.0,7.0,21.0,2.0,0.0,46.0,133.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,29.0,0.0,133.0
14364,2009,CCJE,CIENCIAS CONTABEIS,154.0,79.0,75.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,134.0,9.0,6.0,1.0,1.0,0.0,0.0,55.0,4.0,19.0,2.0,1.0,73.0,152.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,1.0,0.0,154.0
14366,2009,CCJE,CIENCIAS ECONOMICAS,192.0,68.0,124.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,184.0,3.0,1.0,0.0,1.0,0.0,0.0,99.0,3.0,15.0,0.0,0.0,75.0,179.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,9.0,0.0,192.0
116844,2009,CCMN,CIENCIAS MATEMATICAS E DA TERRA,109.0,41.0,68.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,92.0,5.0,3.0,3.0,2.0,0.0,0.0,54.0,3.0,13.0,3.0,0.0,36.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,4.0,0.0,109.0
