CO_CURSO,NU_ANO_CENSO,CENTRO,NO_CURSO,MATRICULADOS,MATRICULADOS_FEM,MATRICULADOS_MASC,MATRICULADOS_DIURNO,MATRICULADOS_NOTURNO,MATRICULADOS_0_17,MATRICULADOS_18_24,MATRICULADOS_25_29,MATRICULADOS_30_34,MATRICULADOS_35_39,MATRICULADOS_40_49,MATRICULADOS_50_59,MATRICULADOS_60_MAIS,MATRICULADOS_BRANCA,MATRICULADOS_PRETA,MATRICULADOS_PARDA,MATRICULADOS_AMARELA,MATRICULADOS_INDIGENA,MATRICULADOS_CORND,MATRICULADOS_NACBRAS,MATRICULADOS_NACESTRANG,MATRICULADOS_DEFICIENTE,MATRICULADOS_FINANC,MATRICULADOS_FINANC_REEMB,MATRICULADOS_FIES,MATRICULADOS_RPFIES,MATRICULADOS_FINANC_REEMB_OUTROS,MATRICULADOS_FINANC_NREEMB,MATRICULADOS_PROUNII,MATRICULADOS_PROUNIP,MATRICULADOS_NRPFIES,MATRICULADOS_FINANC_NREEMB_OUTROS,MATRICULADOS_RESERVA_VAGA,MATRICULADOS_RVREDEPUBLICA,MATRICULADOS_RVETNICO,MATRICULADOS_RVPDEF,MATRICULADOS_RVSOCIAL_RF,MATRICULADOS_RVOUTROS,MATRICULADOS_PROCESCPUBLICA,MATRICULADOS_PROCESCPRIVADA,MATRICULADOS_PROCNAOINFORMADA,MATRICULADOS_PARFOR,MATRICULADOS_APOIO_SOCIAL,MATRICULADOS_ATIV_EXTRACURRICULAR,MATRICULADOS_MOB_ACADEMICA,MATRICULADOS_AMPLA
35557,2009,CLA,ARTES CENICAS - INDUMENTARIA,131.0,120.0,11.0,0.0,0.0,0.0,81.0,27.0,14.0,5.0,1.0,3.0,0.0,81.0,7.0,19.0,3.0,0.0,21.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,20.0,0.0,131.0
14324,2009,CCMN,ASTRONOMIA,75.0,27.0,48.0,0.0,0.0,1.0,56.0,15.0,0.0,1.0,1.0,1.0,0.0,45.0,3.0,14.0,1.0,0.0,12.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,28.0,0.0,75.0
99321,2009,CCJE,BIBLIOTECONOMIA E GESTAO DE UNIDADES DE INFORMACAO,114.0,85.0,29.0,0.0,0.0,0.0,94.0,7.0,3.0,3.0,4.0,3.0,0.0,62.0,7.0,20.0,0.0,0.0,25.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,27.0,0.0,114.0
85783,2009,CCMN,CIENCIA DA COMPUTACAO,613.0,85.0,528.0,0.0,0.0,2.0,477.0,117.0,14.0,3.0,0.0,0.0,0.0,425.0,16.0,85.0,3.0,0.0,84.0,609.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,103.0,0.0,613.0
14331,2009,CCMN,CIENCIAS ATUARIAIS,106.0,56.0,50.0,0.0,0.0,1.0,88.0,14.0,3.0,0.0,0.0,0.0,0.0,70.0,1.0,12.0,3.0,0.0,20.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,9.0,0.0,106.0
112584,2009,CCS,CIENCIAS BIOLOGICAS  BIOFISICA,77.0,31.0,46.0,0.0,0.0,1.0,69.0,4.0,3.0,0.0,0.0,0.0,0.0,42.0,1.0,13.0,1.0,0.0,20.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,30.0,0.0,77.0
112586,2009,CCS,CIENCIAS BIOLOGICAS  MICROBIOLOGIA E IMUNOLOGIA,150.0,100.0,50.0,0.0,0.0,0.0,142.0,7.0,1.0,0.0,0.0,0.0,0.0,92.0,6.0,26.0,1.0,0.0,25.0,146.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,101.0,0.0,150.0
112582,2009,CCS,CIENCIAS BIOLOGICAS  MODALIDADE MEDICA,191.0,138.0,53.0,0.0,0.0,2.0,174.0,12.0,2.0,1.0,0.0,0.0,0.0,117.0,6.0,16.0,1.0,1.0,50.0,190.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,66.0,0.0,191.0
44900,2009,CCS,CIENCIAS BIOLOGICAS - LICENCIATURA,373.0,210.0,163.0,0.0,0.0,1.0,271.0,75.0,15.0,5.0,5.0,0.0,1.0,206.0,20.0,79.0,6.0,2.0,60.0,372.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,115.0,0.0,373.0
14364,2009,CCJE,CIENCIAS CONTABEIS,711.0,292.0,419.0,0.0,0.0,3.0,532.0,129.0,32.0,8.0,7.0,0.0,0.0,405.0,47.0,129.0,15.0,3.0,112.0,706.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,27.0,0.0,711.0
