NU_ANO_CENSO,NO_CURSO,CO_CURSO,DURACAO,CENTRO,EVASAO,RETENCAO,SUCESSO,EVASAO_PUBLICA,RETENCAO_PUBLICA,SUCESSO_PUBLICA,EVASAO_PRIVADA,RETENCAO_PRIVADA,SUCESSO_PRIVADA,EVASAO_NAO INFORMADA,RETENCAO_NAO INFORMADA,SUCESSO_NAO INFORMADA,EVASAO_ETNICO,RETENCAO_ETNICO,SUCESSO_ETNICO,EVASAO_REDE PUBLICA,RETENCAO_REDE PUBLICA,SUCESSO_REDE PUBLICA,EVASAO_SOCIAL,RETENCAO_SOCIAL,SUCESSO_SOCIAL,EVASAO_BRANCA,RETENCAO_BRANCA,SUCESSO_BRANCA,EVASAO_PRETA,RETENCAO_PRETA,SUCESSO_PRETA,EVASAO_PARDA,RETENCAO_PARDA,SUCESSO_PARDA,EVASAO_MASCULINO,RETENCAO_MASCULINO,SUCESSO_MASCULINO,EVASAO_FEMININO,RETENCAO_FEMININO,SUCESSO_FEMININO,QT_MAT,QT_ING,QT_CONC
2009,EDUCACAO FISICA - LICENCIATURA,44893,4.0,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975.0,220.0,144.0
2009,ENGENHARIA AMBIENTAL,83486,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,44.0,14.0
2009,ENGENHARIA CIVIL,14351,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789.0,137.0,81.0
2009,ENGENHARIA DE ALIMENTOS,83910,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,44.0,1.0
2009,ENGENHARIA DE BIOPROCESSOS,83936,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,43.0,6.0
2009,ENGENHARIA DE COMPUTACAO E INFORMACAO,83904,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,30.0,3.0
2009,ENGENHARIA DE CONTROLE E AUTOMACAO,83906,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,25.0,11.0
2009,ENGENHARIA DE MATERIAIS,14368,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,40.0,13.0
2009,ENGENHARIA DE PETROLEO,83908,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,37.0,14.0
2009,ENGENHARIA DE PRODUCAO,14352,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.0,106.0,68.0
2009,ENGENHARIA ELETRICA,14350,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.0,89.0,48.0
2009,ENGENHARIA ELETRONICA E DE COMPUTACAO,85825,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.0,117.0,52.0
2009,ENGENHARIA MECANICA,14355,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.0,139.0,61.0
2009,ENGENHARIA METALURGICA,14353,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,40.0,16.0
2009,ENGENHARIA NAVAL E OCEANICA,14354,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.0,72.0,47.0
2009,ENGENHARIA QUIMICA,14367,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.0,256.0,111.0
2009,ESTATISTICA,14330,4.0,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,27.0,4.0
2009,FARMACIA,14369,5.0,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.0,147.0,118.0
2009,FILOSOFIA,14346,4.0,CFCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,78.0,0.0
2009,FISICA,14323,4.0,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,42.0,29.0
2009,FISICA - FISICA MEDICA,29307,4.0,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,2.0,12.0
2009,FISICA - LICENCIATURA,44363,5.0,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.0,90.0,20.0
2009,FISIOTERAPIA,14373,4.0,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,91.0,69.0
2009,FONOAUDIOLOGIA,14376,4.0,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.0,89.0,60.0
2009,GEOGRAFIA,14326,4.0,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.0,43.0,79.0
2009,GEOLOGIA,14327,5.0,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0,34.0,58.0
2009,GRAVURA,14340,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,13.0,15.0
2009,HISTORIA,107716,4.0,CFCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,96.0,35.0
2009,HISTORIA - LICENCIATURA,107717,4.0,CFCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,26.0,18.0
2009,HISTORIA DA ARTE,113332,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,68.0,0.0
2009,LETRAS -  PORTUGUES - HEBRAICO,107783,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,14.0,7.0
2009,LETRAS - PORTUGUES - ALEMAO,107788,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,52.0,11.0
2009,LETRAS - PORTUGUES - ARABE,107790,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,11.0,6.0
2009,LETRAS - PORTUGUES - ESPANHOL,107796,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,62.0,41.0
2009,LETRAS - PORTUGUES - FRANCES,107798,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.0,69.0,29.0
2009,LETRAS - PORTUGUES - GREGO,107800,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,29.0,1.0
2009,LETRAS - PORTUGUES - INGLES,107804,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.0,133.0,77.0
2009,LETRAS - PORTUGUES - ITALIANO,107802,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,47.0,18.0
2009,LETRAS - PORTUGUES - JAPONES,107808,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,15.0,12.0
2009,LETRAS - PORTUGUES - LATIM,107806,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0,59.0,16.0
2009,LETRAS - PORTUGUES - RUSSO,107792,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,14.0,2.0
2009,LETRAS - PORTUGUES E LITERATURAS DA LINGUA PORTUGUESA,107794,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.0,175.0,100.0
2009,MATEMATICA,14328,4.0,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,36.0,9.0
2009,MATEMATICA APLICADA,71061,4.0,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,27.0,6.0
2009,MEDICINA,14359,6.0,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.0,195.0,192.0
2009,METEOROLOGIA,14325,4.0,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.0,27.0,15.0
2009,MUSICA - CANTO,35558,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,9.0,6.0
2009,MUSICA - CLARINETA,45202,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,6.0,2.0
2009,MUSICA - COMPOSICAO,33821,5.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,10.0,3.0
2009,MUSICA - CRAVO,99324,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,1.0
2009,MUSICA - FAGOTE,45135,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0
2009,MUSICA - FLAUTA,45137,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,2.0
2009,MUSICA - HARPA,45128,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,2.0
2009,MUSICA - INSTRUMENTO DE PERCUSSAO,45148,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,1.0
2009,MUSICA - LICENCIATURA,85786,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,36.0,17.0
2009,MUSICA - OBOE,45149,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,0.0
2009,MUSICA - ORGAO,45197,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0
2009,MUSICA - PIANO,45145,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,10.0,10.0
2009,MUSICA - SAXOFONE,45150,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0,1.0
2009,MUSICA - TROMBONE,45132,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,4.0
2009,MUSICA - TROMPA,45133,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,0.0
2009,MUSICA - TUBA,45201,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0
2009,MUSICA - VIOLA,45134,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,1.0
2009,MUSICA - VIOLAO,45142,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,9.0,4.0
2009,MUSICA - VIOLINO,45136,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,5.0,1.0
2009,NUTRICAO,14360,4.0,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,94.0,73.0
2009,ODONTOLOGIA,14361,4.0,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.0,86.0,57.0
2009,PEDAGOGIA,14349,5.0,CFCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,133.0,1.0
2009,PINTURA,14339,4.0,CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.0,40.0,33.0
2009,PSICOLOGIA,14356,4.0,CFCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.0,164.0,130.0
2009,QUIMICA,14332,5.0,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,61.0,19.0
2009,QUIMICA - LICENCIATURA,45204,5.0,CCMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.0,61.0,46.0
2009,QUIMICA INDUSTRIAL,14379,5.0,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,44.0,3.0
2009,RELACOES INTERNACIONAIS,116840,4.0,CCJE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,119.0,0.0
2009,SAUDE COLETIVA,116838,4.0,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,35.0,0.0
2009,SERVICO SOCIAL,14358,5.0,CFCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.0,207.0,116.0
2009,TERAPIA OCUPACIONAL,116836,4.0,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,31.0,0.0
2010,CIÊNCIAS BIOLÓGICAS: BIOFÍSICA,121706,4.0,CAXIAS,26.36363636363636,,,,,,,,,0.0,,,,,,,,,,,,23.91304347826087,,,0.0,,,0.0,,,23.91304347826087,,,28.125,,,109.0,28.0,0.0
2010,CIÊNCIAS BIOLÓGICAS: BIOTECNOLOGIA,1114292,4.0,CAXIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,80.0,0.0
2010,NANOTECNOLOGIA,1114291,4.0,CAXIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,16.0,0.0
2010,CIÊNCIAS BIOLÓGICAS,99287,5.0,MACAE,17.341040462427745,,,,,,,,,0.0,,,,,,,,,,,,8.860759493670885,,,12.5,,,0.0,,,26.923076923076923,,,13.223140495867769,,,194.0,51.0,21.0
2010,ENFERMAGEM E OBSTETRÍCIA,121848,5.0,MACAE,18.75,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,25.0,,,0.0,,,50.0,,,14.285714285714285,,,53.0,40.0,0.0
