CO_CURSO,NO_CURSO,ANO_INGRESSO,ANO_REFERENCIA,DURACAO,ANO_INTEGRALIZACAO,QT_INGRESSANTES,QT_PERMANENCIA,QT_CONCLUINTES,QT_DESISTENTES,TAP,TCA,TDA,TCAN,TADA
107798,LETRAS - PORTUGUÊS E FRANCÊS,2017,2018,5,2021,16,16,0,0,100.0,0.0,0.0,0.0,0.0
107798,LETRAS - PORTUGUÊS E FRANCÊS,2017,2019,5,2021,16,14,0,2,87.5,0.0,12.5,0.0,12.5
107798,LETRAS - PORTUGUÊS E FRANCÊS,2017,2020,5,2021,16,10,2,2,62.5,12.5,25.0,12.5,12.5
107798,LETRAS - PORTUGUÊS E FRANCÊS,2017,2021,5,2021,16,8,1,1,50.0,18.75,31.25,6.25,6.25
107800,LETRAS - PORTUGUÊS E GREGO,2017,2017,5,2021,4,4,0,0,100.0,0.0,0.0,0.0,0.0
107800,LETRAS - PORTUGUÊS E GREGO,2017,2018,5,2021,4,4,0,0,100.0,0.0,0.0,0.0,0.0
107800,LETRAS - PORTUGUÊS E GREGO,2017,2019,5,2021,4,3,0,1,75.0,0.0,25.0,0.0,25.0
107800,LETRAS - PORTUGUÊS E GREGO,2017,2020,5,2021,4,3,0,0,75.0,0.0,25.0,0.0,0.0
107800,LETRAS - PORTUGUÊS E GREGO,2017,2021,5,2021,4,3,0,0,75.0,0.0,25.0,0.0,0.0
107802,LETRAS - PORTUGUÊS E ITALIANO,2017,2017,5,2021,7,6,1,0,85.71428571,14.28571429,0.0,14.28571429,0.0
107802,LETRAS - PORTUGUÊS E ITALIANO,2017,2018,5,2021,7,6,0,0,85.71428571,14.28571429,0.0,0.0,0.0
107802,LETRAS - PORTUGUÊS E ITALIANO,2017,2019,5,2021,7,6,0,0,85.71428571,14.28571429,0.0,0.0,0.0
107802,LETRAS - PORTUGUÊS E ITALIANO,2017,2020,5,2021,7,5,0,1,71.42857143,14.28571429,14.28571429,0.0,14.28571429
107802,LETRAS - PORTUGUÊS E ITALIANO,2017,2021,5,2021,7,4,0,1,57.14285714,14.28571429,28.57142857,0.0,14.28571429
107804,LETRAS - PORTUGUÊS E INGLÊS,2017,2017,5,2021,40,39,0,1,97.5,0.0,2.5,0.0,2.5
107804,LETRAS - PORTUGUÊS E INGLÊS,2017,2018,5,2021,40,36,0,3,90.0,0.0,10.0,0.0,7.5
107804,LETRAS - PORTUGUÊS E INGLÊS,2017,2019,5,2021,40,32,0,4,80.0,0.0,20.0,0.0,10.0
107804,LETRAS - PORTUGUÊS E INGLÊS,2017,2020,5,2021,40,32,0,0,80.0,0.0,20.0,0.0,0.0
107804,LETRAS - PORTUGUÊS E INGLÊS,2017,2021,5,2021,40,21,7,4,52.5,17.5,30.0,17.5,10.0
107806,LETRAS - PORTUGUÊS E LATIM,2017,2017,5,2021,4,4,0,0,100.0,0.0,0.0,0.0,0.0
107806,LETRAS - PORTUGUÊS E LATIM,2017,2018,5,2021,4,4,0,0,100.0,0.0,0.0,0.0,0.0
107806,LETRAS - PORTUGUÊS E LATIM,2017,2019,5,2021,4,4,0,0,100.0,0.0,0.0,0.0,0.0
107806,LETRAS - PORTUGUÊS E LATIM,2017,2020,5,2021,4,3,0,1,75.0,0.0,25.0,0.0,25.0
107806,LETRAS - PORTUGUÊS E LATIM,2017,2021,5,2021,4,3,0,0,75.0,0.0,25.0,0.0,0.0
107808,LETRAS - PORTUGUÊS E JAPONÊS,2017,2017,5,2021,4,4,0,0,100.0,0.0,0.0,0.0,0.0
107808,LETRAS - PORTUGUÊS E JAPONÊS,2017,2018,5,2021,4,4,0,0,100.0,0.0,0.0,0.0,0.0
107808,LETRAS - PORTUGUÊS E JAPONÊS,2017,2019,5,2021,4,4,0,0,100.0,0.0,0.0,0.0,0.0
107808,LETRAS - PORTUGUÊS E JAPONÊS,2017,2020,5,2021,4,3,0,1,75.0,0.0,25.0,0.0,25.0
107808,LETRAS - PORTUGUÊS E JAPONÊS,2017,2021,5,2021,4,1,2,0,25.0,50.0,25.0,50.0,0.0
112582,CIÊNCIAS BIOLÓGICAS: MODALIDADE MÉDICA,2017,2017,5,2021,86,82,0,4,95.34883721,0.0,4.651162791,0.0,4.651162791
