,NU_ANO_CENSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,IN_CAPITAL,TP_DIMENSAO,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,CO_IES,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,CO_CINE_ROTULO,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,CO_CINE_AREA_ESPECIFICA,NO_CINE_AREA_ESPECIFICA,CO_CINE_AREA_DETALHADA,NO_CINE_AREA_DETALHADA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,TP_NIVEL_ACADEMICO,QT_CURSO,QT_VG_TOTAL,QT_VG_TOTAL_DIURNO,QT_VG_TOTAL_NOTURNO,QT_VG_TOTAL_EAD,QT_VG_NOVA,QT_VG_PROC_SELETIVO,QT_VG_REMANESC,QT_VG_PROG_ESPECIAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL_DIURNO,QT_INSCRITO_TOTAL_NOTURNO,QT_INSCRITO_TOTAL_EAD,QT_INSC_VG_NOVA,QT_INSC_PROC_SELETIVO,QT_INSC_VG_REMANESC,QT_INSC_VG_PROG_ESPECIAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_DIURNO,QT_ING_NOTURNO,QT_ING_VG_NOVA,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_EGR,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_PROC_SELETIVO,QT_ING_VG_REMANESC,QT_ING_VG_PROG_ESPECIAL,QT_ING_OUTRA_FORMA,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_DIURNO,QT_MAT_NOTURNO,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_DIURNO,QT_CONC_NOTURNO,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_NACBRAS,QT_ING_NACESTRANG,QT_MAT_NACBRAS,QT_MAT_NACESTRANG,QT_CONC_NACBRAS,QT_CONC_NACESTRANG,QT_ALUNO_DEFICIENTE,QT_ING_DEFICIENTE,QT_MAT_DEFICIENTE,QT_CONC_DEFICIENTE,QT_ING_FINANC,QT_ING_FINANC_REEMB,QT_ING_FIES,QT_ING_RPFIES,QT_ING_FINANC_REEMB_OUTROS,QT_ING_FINANC_NREEMB,QT_ING_PROUNII,QT_ING_PROUNIP,QT_ING_NRPFIES,QT_ING_FINANC_NREEMB_OUTROS,QT_MAT_FINANC,QT_MAT_FINANC_REEMB,QT_MAT_FIES,QT_MAT_RPFIES,QT_MAT_FINANC_REEMB_OUTROS,QT_MAT_FINANC_NREEMB,QT_MAT_PROUNII,QT_MAT_PROUNIP,QT_MAT_NRPFIES,QT_MAT_FINANC_NREEMB_OUTROS,QT_CONC_FINANC,QT_CONC_FINANC_REEMB,QT_CONC_FIES,QT_CONC_RPFIES,QT_CONC_FINANC_REEMB_OUTROS,QT_CONC_FINANC_NREEMB,QT_CONC_PROUNII,QT_CONC_PROUNIP,QT_CONC_NRPFIES,QT_CONC_FINANC_NREEMB_OUTROS,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_MAT_RESERVA_VAGA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVETNICO,QT_MAT_RVPDEF,QT_MAT_RVSOCIAL_RF,QT_MAT_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPRIVADA,QT_MAT_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA,QT_PARFOR,QT_ING_PARFOR,QT_MAT_PARFOR,QT_CONC_PARFOR,QT_APOIO_SOCIAL,QT_ING_APOIO_SOCIAL,QT_MAT_APOIO_SOCIAL,QT_CONC_APOIO_SOCIAL,QT_ATIV_EXTRACURRICULAR,QT_ING_ATIV_EXTRACURRICULAR,QT_MAT_ATIV_EXTRACURRICULAR,QT_CONC_ATIV_EXTRACURRICULAR,QT_MOB_ACADEMICA,QT_ING_MOB_ACADEMICA,QT_MAT_MOB_ACADEMICA,QT_CONC_MOB_ACADEMICA
211,2022,,0,,,0,,0,0,3,1,1,1,586,Ciências Biológicas,63484,Biologia formação de professor,"""0114B01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2,1,2,1,1,712,0,0,712,712,0,0,0,1573,0,0,1573,1573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,2022,,0,,,0,,0,0,3,1,1,1,586,Ciências Contábeis,1442964,Contabilidade,"""0411C01""",4,"Negócios, administração e direito",41,Negócios e administração,411,Contabilidade e tributação,1,1,2,1,1,480,0,0,480,480,0,0,0,1701,0,0,1701,1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2022,,0,,,0,,0,0,3,1,1,1,586,Física,63486,Física formação de professor,"""0114F02""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2,1,2,1,1,750,0,0,750,750,0,0,0,477,0,0,477,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,2022,,0,,,0,,0,0,3,1,1,1,586,Química,123365,Química formação de professor,"""0114Q01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2,1,2,1,1,358,0,0,358,358,0,0,0,336,0,0,336,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292194,2022,Sudeste,3,Rio de Janeiro,RJ,33,Angra dos Reis,3300100,0,2,1,1,1,586,Ciências Biológicas,63484,Biologia formação de professor,"""0114B01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,32,18,0,0,50,0,0,0,50,0,0,0,0,0,0,0,24,8,7,2,6,2,1,14,2,9,0,0,25,171,128,43,0,0,0,59,40,25,18,20,6,3,53,16,32,0,0,70,5,4,1,0,0,0,0,3,0,2,0,0,0,4,0,1,0,0,0,50,0,171,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,272,0,0,2,48,0,6,158,7,0,4,1,1,0,1,0,484,50,171,5,40,0,37,1,0,0,0,0
292195,2022,Sudeste,3,Rio de Janeiro,RJ,33,Angra dos Reis,3300100,0,2,1,1,1,586,Física,63486,Física formação de professor,"""0114F02""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,8,0,0,0,8,0,0,0,0,0,0,0,3,2,1,2,0,0,0,3,1,0,0,0,4,12,5,7,0,0,0,1,2,2,4,2,1,0,5,1,3,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,55,0,0,1,7,0,2,8,2,0,1,0,0,0,0,0,79,8,12,1,0,0,0,0,0,0,0,0
292196,2022,Sudeste,3,Rio de Janeiro,RJ,33,Angra dos Reis,3300100,0,2,1,1,1,586,Química,123365,Química formação de professor,"""0114Q01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,6,0,0,17,0,0,0,17,0,0,0,0,0,0,0,6,3,1,4,2,0,1,7,2,4,1,0,3,26,16,10,0,0,0,4,2,7,9,2,1,1,10,2,8,1,0,5,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,17,0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,60,0,0,1,16,0,3,21,2,0,2,0,0,0,0,0,100,17,26,2,2,0,1,1,0,0,0,0
295224,2022,Sudeste,3,Rio de Janeiro,RJ,33,Belford Roxo,3300456,0,2,1,1,1,586,Ciências Contábeis,1442964,Contabilidade,"""0411C01""",4,"Negócios, administração e direito",41,Negócios e administração,411,Contabilidade e tributação,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,57,42,0,0,99,0,0,0,99,0,0,0,0,0,0,0,30,15,19,14,16,4,1,23,12,26,0,0,38,243,112,131,0,0,0,40,42,59,43,46,11,2,68,28,76,1,0,70,9,4,5,0,0,0,0,1,1,2,4,1,0,4,0,3,0,0,2,99,0,243,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,92,0,0,17,82,0,42,201,0,2,7,0,0,0,0,0,398,99,243,9,10,0,8,0,0,0,0,0
299047,2022,Sudeste,3,Rio de Janeiro,RJ,33,Duque de Caxias,3301702,0,1,1,1,1,586,Ciências Biológicas: Biofísica,121706,Biologia,"""0511B01""",5,"Ciências naturais, matemática e estatística",51,Ciências biológicas e correlatas,511,Biologia,1,1,1,1,1,45,45,0,0,40,0,5,0,162,162,0,0,162,0,0,0,30,24,6,30,0,30,0,30,0,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,16,7,7,0,0,0,111,84,27,111,0,0,82,20,5,2,1,1,0,52,29,27,0,0,3,22,18,4,22,0,0,13,7,1,1,0,0,0,11,6,5,0,0,0,30,0,111,0,22,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,7,0,8,0,61,61,32,0,29,0,11,11,7,0,5,0,32,56,11,0,20,10,0,69,42,0,14,8,0,0,0,0,0,210,30,111,22,45,2,35,13,0,0,0,0
299048,2022,Sudeste,3,Rio de Janeiro,RJ,33,Duque de Caxias,3301702,0,1,1,1,1,586,Ciências Biológicas: Biotecnologia,1114292,Biologia,"""0511B01""",5,"Ciências naturais, matemática e estatística",51,Ciências biológicas e correlatas,511,Biologia,1,1,1,1,1,142,142,0,0,100,0,42,0,664,664,0,0,660,0,4,0,81,53,28,81,0,79,0,79,0,0,0,0,0,2,0,0,2,71,6,0,0,0,2,0,41,9,27,2,0,2,343,233,110,343,0,2,272,55,10,1,2,1,0,170,46,111,3,1,12,35,20,15,35,0,0,17,15,3,0,0,0,0,21,4,9,0,1,0,81,0,340,3,35,0,15,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,20,2,20,0,169,169,89,3,90,0,15,15,7,0,9,0,77,105,8,0,53,28,0,195,145,3,17,17,1,0,0,0,0,533,81,343,35,216,15,191,25,0,0,0,0
