,NU_ANO_CENSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,IN_CAPITAL,TP_DIMENSAO,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,TP_REDE,CO_IES,NO_CURSO,CO_CURSO,NO_CINE_ROTULO,CO_CINE_ROTULO2,CO_CINE_AREA_GERAL,NO_CINE_AREA_GERAL,CO_CINE_AREA_ESPECIFICA,NO_CINE_AREA_ESPECIFICA,CO_CINE_AREA_DETALHADA,NO_CINE_AREA_DETALHADA,TP_GRAU_ACADEMICO,IN_GRATUITO,TP_MODALIDADE_ENSINO,TP_NIVEL_ACADEMICO,QT_CURSO,QT_VG_TOTAL,QT_VG_TOTAL_DIURNO,QT_VG_TOTAL_NOTURNO,QT_VG_TOTAL_EAD,QT_VG_NOVA,QT_VG_PROC_SELETIVO,QT_VG_REMANESC,QT_VG_PROG_ESPECIAL,QT_INSCRITO_TOTAL,QT_INSCRITO_TOTAL_DIURNO,QT_INSCRITO_TOTAL_NOTURNO,QT_INSCRITO_TOTAL_EAD,QT_INSC_VG_NOVA,QT_INSC_PROC_SELETIVO,QT_INSC_VG_REMANESC,QT_INSC_VG_PROG_ESPECIAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_DIURNO,QT_ING_NOTURNO,QT_ING_VG_NOVA,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_EGR,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_PROC_SELETIVO,QT_ING_VG_REMANESC,QT_ING_VG_PROG_ESPECIAL,QT_ING_OUTRA_FORMA,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_DIURNO,QT_MAT_NOTURNO,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_DIURNO,QT_CONC_NOTURNO,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_ING_NACBRAS,QT_ING_NACESTRANG,QT_MAT_NACBRAS,QT_MAT_NACESTRANG,QT_CONC_NACBRAS,QT_CONC_NACESTRANG,QT_ALUNO_DEFICIENTE,QT_ING_DEFICIENTE,QT_MAT_DEFICIENTE,QT_CONC_DEFICIENTE,QT_ING_FINANC,QT_ING_FINANC_REEMB,QT_ING_FIES,QT_ING_RPFIES,QT_ING_FINANC_REEMB_OUTROS,QT_ING_FINANC_NREEMB,QT_ING_PROUNII,QT_ING_PROUNIP,QT_ING_NRPFIES,QT_ING_FINANC_NREEMB_OUTROS,QT_MAT_FINANC,QT_MAT_FINANC_REEMB,QT_MAT_FIES,QT_MAT_RPFIES,QT_MAT_FINANC_REEMB_OUTROS,QT_MAT_FINANC_NREEMB,QT_MAT_PROUNII,QT_MAT_PROUNIP,QT_MAT_NRPFIES,QT_MAT_FINANC_NREEMB_OUTROS,QT_CONC_FINANC,QT_CONC_FINANC_REEMB,QT_CONC_FIES,QT_CONC_RPFIES,QT_CONC_FINANC_REEMB_OUTROS,QT_CONC_FINANC_NREEMB,QT_CONC_PROUNII,QT_CONC_PROUNIP,QT_CONC_NRPFIES,QT_CONC_FINANC_NREEMB_OUTROS,QT_ING_RESERVA_VAGA,QT_ING_RVREDEPUBLICA,QT_ING_RVETNICO,QT_ING_RVPDEF,QT_ING_RVSOCIAL_RF,QT_ING_RVOUTROS,QT_MAT_RESERVA_VAGA,QT_MAT_RVREDEPUBLICA,QT_MAT_RVETNICO,QT_MAT_RVPDEF,QT_MAT_RVSOCIAL_RF,QT_MAT_RVOUTROS,QT_CONC_RESERVA_VAGA,QT_CONC_RVREDEPUBLICA,QT_CONC_RVETNICO,QT_CONC_RVPDEF,QT_CONC_RVSOCIAL_RF,QT_CONC_RVOUTROS,QT_SIT_TRANCADA,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,QT_MAT_PROCESCPUBLICA,QT_MAT_PROCESCPRIVADA,QT_MAT_PROCNAOINFORMADA,QT_CONC_PROCESCPUBLICA,QT_CONC_PROCESCPRIVADA,QT_CONC_PROCNAOINFORMADA,QT_PARFOR,QT_ING_PARFOR,QT_MAT_PARFOR,QT_CONC_PARFOR,QT_APOIO_SOCIAL,QT_ING_APOIO_SOCIAL,QT_MAT_APOIO_SOCIAL,QT_CONC_APOIO_SOCIAL,QT_ATIV_EXTRACURRICULAR,QT_ING_ATIV_EXTRACURRICULAR,QT_MAT_ATIV_EXTRACURRICULAR,QT_CONC_ATIV_EXTRACURRICULAR,QT_MOB_ACADEMICA,QT_ING_MOB_ACADEMICA,QT_MAT_MOB_ACADEMICA,QT_CONC_MOB_ACADEMICA
180345,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Duque de Caxias,3301702.0,0.0,1,1,1,1,586,CIÊNCIAS BIOLÓGICAS: BIOTECNOLOGIA,1114292,Biologia,"""0511B01""",5,"Ciências naturais, matemática e estatística",51,Ciências biológicas e correlatas,511,Biologia,1.0,1,1,1,1,123,123,0,0,100,0,23,0,1272,1272,0,0,1270,0,2,0,100,67,33,100,0,100,0,100,0,0,0,0,0,0,0,0,0,93,3,0,1,3,0,0,39,12,31,0,0,18,360,242,118,360,0,0,289,59,7,2,2,1,0,151,47,129,2,1,30,37,28,9,37,0,0,18,16,3,0,0,0,0,11,4,19,1,0,2,100,0,357,3,37,0,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,26,1,29,0,162,162,94,2,89,0,17,17,12,0,12,0,92,14,2,0,53,47,0,185,171,4,22,15,0,0,0,0,0,468,100,360,37,122,10,108,9,0,0,0,0
180346,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Duque de Caxias,3301702.0,0.0,1,1,1,1,586,NANOTECNOLOGIA,1114291,"Programas interdisciplinares abrangendo ciências naturais, matemática e estatística","""0588P01""",5,"Ciências naturais, matemática e estatística",58,"Programas interdisciplinares abrangendo ciências naturais, matemática e estatística",588,"Programas interdisciplinares abrangendo ciências naturais, matemática e estatística",1.0,1,1,1,1,27,27,0,0,20,0,7,0,297,297,0,0,297,0,0,0,20,8,12,20,0,20,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,10,3,3,0,0,4,74,29,45,74,0,0,64,7,0,1,2,0,0,37,7,21,1,0,8,22,10,12,22,0,0,15,6,0,0,1,0,0,16,0,6,0,0,0,20,0,73,1,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,6,0,5,0,29,29,15,0,15,0,6,6,1,0,2,0,15,0,2,0,12,8,0,34,38,2,8,14,0,0,0,0,0,91,20,74,22,25,3,24,8,0,0,0,0
180410,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Duque de Caxias,3301702.0,0.0,2,1,1,1,586,CIÊNCIAS BIOLÓGICAS,63484,Biologia formação de professor,"""0114B01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,63,27,0,0,90,38,0,0,52,0,0,0,0,0,0,1,43,20,12,3,8,3,0,27,13,16,0,0,34,294,210,84,0,0,1,65,62,51,37,60,12,6,107,25,89,5,0,68,15,10,5,0,0,0,2,1,5,1,4,1,1,6,0,6,0,0,3,90,0,294,0,15,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,13,2,0,30,60,0,51,225,18,1,8,6,1,0,0,0,526,90,294,15,77,5,77,0,0,0,0,0
180411,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Duque de Caxias,3301702.0,0.0,2,1,1,1,586,FÍSICA,63486,Física formação de professor,"""0114F02""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,6,42,0,0,48,8,0,0,40,0,0,0,0,0,0,0,14,8,5,4,13,3,1,12,4,7,0,0,25,148,32,116,0,0,0,23,23,27,20,37,13,5,48,18,32,3,0,47,4,0,4,0,0,0,1,0,0,1,0,1,1,2,0,2,0,0,0,48,0,148,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,5,0,0,7,41,0,15,126,7,0,4,0,0,0,0,0,330,48,148,4,0,0,0,0,0,0,0,0
182399,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Itaperuna,3302205.0,0.0,2,1,1,1,586,FÍSICA,63486,Física formação de professor,"""0114F02""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,7,1,0,0,6,0,0,0,0,0,0,0,3,2,1,1,0,0,0,1,0,1,0,0,5,27,10,17,0,0,0,4,9,2,3,5,3,1,15,1,3,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,0,0,1,6,0,2,22,3,0,0,1,0,0,0,0,82,7,27,1,0,0,0,0,0,0,0,0
182812,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,ABI - ENGENHARIA,5000469,"ABI Engenharia, produção e construção","""0011A07""",0,Programas básicos,1,Programas básicos,11,Programas básicos,,1,1,1,0,150,150,0,0,120,0,30,0,1411,1411,0,0,1381,0,30,0,122,43,79,122,0,120,0,120,0,0,0,0,0,2,0,0,0,108,9,3,2,0,0,0,37,9,34,4,0,38,405,120,285,405,0,0,347,46,11,1,0,0,0,159,34,123,5,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,405,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,30,0,30,0,202,202,106,2,106,0,0,0,0,0,0,0,100,20,83,0,68,54,0,220,185,0,0,0,0,0,0,0,0,608,122,405,0,60,0,42,0,7,0,7,0
182813,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,CIÊNCIAS BIOLÓGICAS,99287,Biologia formação de professor,"""0114B01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,1,1,1,45,45,0,0,40,0,5,0,508,508,0,0,505,0,3,0,41,30,11,41,0,40,0,40,0,0,0,0,0,1,0,0,0,40,1,0,0,0,0,0,11,4,12,1,0,13,182,129,53,182,0,0,149,21,6,2,2,1,1,64,24,61,2,2,29,10,5,5,10,0,0,4,3,3,0,0,0,0,6,0,4,0,0,0,41,0,182,0,10,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,12,0,10,0,88,88,55,0,45,0,2,2,2,0,0,0,19,7,0,0,26,15,0,107,71,4,4,3,3,0,0,0,0,208,41,182,10,63,1,62,0,0,0,0,0
182814,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,CIÊNCIAS BIOLÓGICAS,1180207,Biologia,"""0511B01""",5,"Ciências naturais, matemática e estatística",51,Ciências biológicas e correlatas,511,Biologia,1.0,1,1,1,1,49,49,0,0,40,0,9,0,624,624,0,0,622,0,2,0,40,30,10,40,0,40,0,40,0,0,0,0,0,0,0,0,0,38,1,1,0,0,0,0,11,3,12,1,0,13,165,119,46,165,0,0,140,20,3,1,0,0,1,69,21,50,1,0,24,29,24,5,29,0,0,19,10,0,0,0,0,0,13,8,6,0,0,2,40,0,165,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,12,0,10,0,73,73,48,0,36,0,14,14,10,0,7,0,33,8,2,0,24,16,0,94,71,0,16,13,0,0,0,0,0,208,40,165,29,57,0,55,12,0,0,0,0
182815,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,ENFERMAGEM E OBSTETRÍCIA,121848,Enfermagem,"""0913E01""",9,Saúde e bem-estar,91,Saúde,913,Enfermagem,1.0,1,1,1,1,87,87,0,0,80,0,7,0,2728,2728,0,0,2714,0,14,0,74,60,14,74,0,74,0,74,0,0,0,0,0,0,0,0,0,67,4,3,0,0,0,0,22,7,23,1,0,21,330,283,47,330,0,0,261,45,11,5,7,0,1,128,47,101,6,1,47,26,24,2,26,0,0,13,8,2,1,2,0,0,13,2,8,1,0,2,74,0,329,1,26,0,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,21,0,17,0,162,162,97,0,77,0,12,12,4,0,4,0,58,14,0,1,46,28,0,197,132,1,16,10,0,0,0,0,0,403,74,330,26,106,0,99,3,0,0,0,0
182816,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,ENGENHARIA CIVIL,5001283,Engenharia civil,"""0732E01""",7,"Engenharia, produção e construção",73,Arquitetura e construção,732,Engenharia civil e construção,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,26,35,61,0,0,28,31,0,2,0,0,0,41,3,11,0,0,6,15,6,9,15,0,0,6,9,0,0,0,0,0,9,1,3,0,0,2,0,0,60,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3,0,7,0,5,5,1,0,1,0,11,0,3,0,0,0,0,21,39,1,5,10,0,0,0,0,0,75,0,61,15,10,0,9,0,1,0,1,0
182817,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,ENGENHARIA DE PRODUÇÃO,5001281,Engenharia de produção,"""0725E02""",7,"Engenharia, produção e construção",72,Produção e processamento,725,Produção e processos de fabricação,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,10,23,0,0,11,10,1,1,0,0,0,13,3,5,0,0,2,11,7,4,11,0,0,3,7,0,1,0,0,0,8,0,2,0,0,1,0,0,23,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,0,4,0,1,1,0,0,1,0,3,0,0,0,0,0,0,10,13,0,4,7,0,0,0,0,0,26,0,23,11,3,0,3,1,1,0,1,0
182818,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,ENGENHARIA MECÂNICA,5001282,Engenharia mecânica,"""0715E02""",7,"Engenharia, produção e construção",71,Engenharia e profissões correlatas,715,Engenharia mecânica e metalurgia,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,63,11,52,63,0,0,21,40,2,0,0,0,0,29,3,22,0,0,9,25,4,21,25,0,0,8,17,0,0,0,0,0,10,2,8,0,0,5,1,0,63,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,11,0,12,0,10,10,4,0,6,0,14,0,0,0,0,1,0,31,31,1,12,13,0,0,0,0,0,77,1,63,25,5,0,4,0,1,0,1,0
182819,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,FARMÁCIA,120922,Farmácia,"""0916F01""",9,Saúde e bem-estar,91,Saúde,916,Farmácia,1.0,1,1,1,1,125,125,0,0,100,0,25,0,1533,1533,0,0,1531,0,2,0,96,74,22,96,0,96,0,96,0,0,0,0,0,0,0,0,0,92,2,1,1,0,0,0,34,16,18,1,0,27,423,338,85,423,0,0,333,64,19,5,1,1,0,183,47,127,9,0,57,25,20,5,25,0,0,9,15,1,0,0,0,0,12,5,7,1,0,0,96,0,423,0,25,0,9,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,25,1,23,0,204,204,107,2,105,0,12,12,9,0,6,0,53,16,2,0,53,43,0,233,188,2,13,11,1,0,0,0,0,494,96,423,25,110,0,105,3,0,0,0,0
182820,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,MEDICINA,121850,Medicina,"""0912M01""",9,Saúde e bem-estar,91,Saúde,912,Medicina,1.0,1,1,1,1,61,61,0,0,60,0,1,0,8201,8201,0,0,8135,0,66,0,65,50,15,65,0,61,0,61,0,0,0,0,0,0,0,4,0,57,5,1,1,1,0,0,28,5,19,0,0,13,389,260,129,389,0,0,223,104,42,15,5,0,0,185,25,132,1,0,46,90,54,36,90,0,0,16,47,20,7,0,0,0,42,8,32,0,0,8,65,0,389,0,90,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20,0,17,0,171,171,103,3,86,0,35,35,20,0,17,0,12,10,0,0,33,32,0,191,195,3,41,48,1,0,0,0,0,411,65,389,90,101,4,99,1,0,0,0,0
182821,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,NUTRIÇÃO,121852,Nutrição,"""0915N01""",9,Saúde e bem-estar,91,Saúde,915,"Promoção, prevenção, terapia e reabilitação",1.0,1,1,1,1,88,88,0,0,80,0,8,0,1969,1969,0,0,1960,0,9,0,81,64,17,81,0,78,0,78,0,0,0,0,0,2,0,1,0,68,9,3,0,0,1,0,22,5,26,0,2,26,361,307,54,361,0,0,266,67,14,7,5,2,0,137,36,115,6,2,65,40,39,1,40,0,0,21,16,1,1,1,0,0,22,3,10,1,0,4,81,0,360,1,40,0,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,23,0,19,0,168,168,108,0,76,0,9,9,6,0,4,0,46,10,0,0,49,32,0,208,153,0,15,25,0,0,0,0,0,417,81,361,40,158,8,151,1,0,0,0,0
182822,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,QUÍMICA,120924,Química formação de professor,"""0114Q01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,1,1,1,35,35,0,0,25,0,10,0,306,306,0,0,304,0,2,0,25,16,9,25,0,23,0,23,0,0,0,0,0,2,0,0,0,23,1,0,0,0,1,0,9,2,4,0,0,10,56,37,19,56,0,0,44,10,2,0,0,0,0,24,10,11,1,0,10,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,25,0,56,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,5,0,6,0,27,27,13,0,18,0,1,1,0,0,1,0,28,11,0,0,15,10,0,33,23,0,1,0,0,0,0,0,0,95,25,56,1,9,0,9,0,0,0,0,0
182823,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,1,1,1,1,586,QUÍMICA,1125889,Química,"""0531Q01""",5,"Ciências naturais, matemática e estatística",53,Ciências físicas,531,Química,1.0,1,1,1,1,35,35,0,0,25,0,10,0,246,246,0,0,242,0,4,0,27,20,7,27,0,25,0,25,0,0,0,0,0,2,0,0,0,21,4,1,1,0,0,0,13,4,5,0,0,5,116,79,37,116,0,0,76,30,6,4,0,0,0,53,15,33,1,0,14,9,7,2,9,0,0,1,5,2,1,0,0,0,5,0,3,0,0,1,27,0,116,0,9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,5,0,10,0,52,52,31,1,34,0,3,3,1,0,2,0,31,4,0,0,18,9,0,73,43,0,6,3,0,0,0,0,0,151,27,116,9,9,0,9,0,0,0,0,0
182858,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Macaé,3302403.0,0.0,2,1,1,1,586,FÍSICA,63486,Física formação de professor,"""0114F02""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,10,0,0,12,5,0,0,7,0,0,0,0,0,0,0,5,2,3,1,0,1,0,1,1,1,0,0,9,55,11,44,0,0,0,11,5,14,13,7,5,0,12,6,8,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,1,1,0,1,11,0,2,50,3,0,0,0,0,0,0,0,187,12,55,0,0,0,0,0,0,0,0,0
184415,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Miracema,3303005.0,0.0,2,1,1,1,586,CIÊNCIAS CONTÁBEIS,1442964,Contabilidade,"""0411C01""",4,"Negócios, administração e direito",41,Negócios e administração,411,Contabilidade e tributação,1.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,6,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,3,65,34,31,0,0,0,16,15,14,10,9,0,1,19,8,16,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,2,4,0,5,60,0,0,0,0,0,0,0,0,116,6,65,0,0,0,0,0,0,0,0,0
186434,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Nova Iguaçu,3303500.0,0.0,2,1,1,1,586,CIÊNCIAS BIOLÓGICAS,63484,Biologia formação de professor,"""0114B01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,57,14,0,0,71,20,0,0,51,0,0,0,0,0,0,0,33,12,6,4,12,3,1,15,7,10,1,0,38,347,264,83,0,0,0,112,55,54,40,63,19,4,119,39,110,5,0,74,36,31,5,0,0,0,2,11,7,4,10,1,1,17,8,6,0,0,5,71,0,347,0,36,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,10,1,0,15,56,0,42,274,31,2,28,6,0,0,0,0,570,71,347,36,122,6,122,13,0,0,0,0
186435,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Nova Iguaçu,3303500.0,0.0,2,1,1,1,586,FÍSICA,63486,Física formação de professor,"""0114F02""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,7,40,0,0,47,7,0,0,40,0,0,0,0,0,0,0,14,8,8,7,7,1,2,12,1,5,0,0,29,159,28,131,0,0,0,34,31,22,21,30,13,8,39,19,40,0,1,60,3,0,3,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,0,47,0,159,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,5,0,0,5,42,0,14,134,11,0,3,0,0,0,0,0,361,47,159,3,1,0,1,0,0,0,0,0
186436,2020,Sudeste,3.0,Rio de Janeiro,RJ,33.0,Nova Iguaçu,3303500.0,0.0,2,1,1,1,586,QUÍMICA,123365,Química formação de professor,"""0114Q01""",1,Educação,11,Educação,114,Formação de professores em áreas específicas (exceto Letras),2.0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,24,20,0,0,44,10,0,0,34,0,0,0,0,0,0,0,13,16,7,5,2,0,1,9,3,8,0,0,24,132,88,44,0,0,0,29,35,30,18,14,5,1,34,18,30,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,4,2,0,12,32,0,21,111,0,0,0,0,0,0,0,0,304,44,132,0,9,0,9,0,0,0,0,0
